Model,mAP@0.5,mAP@0.5:0.95,Precision,Recall
YOLOv8 Pretrained,0.004290945995522324,0.0020105553267551735,0.008194144101928633,0.026409621674232726
YOLOv8 Fine-tuned,0.9164993273047795,0.6222690969527378,0.8734242506688352,0.8589965464084858
